,year_film,year_ceremony,ceremony,name,film,winner,category2
354,1935,1936,8,Dave Gould,Broadway Melody of 1936;,True,ETC
360,1935,1936,8,John Ford,The Informer,True,DIRECTING
370,1935,1936,8,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,True,ETC
375,1935,1936,8,Music by Harry Warren; Lyrics by Al Dubin,Gold Diggers of 1935,True,ETC
384,1935,1936,8,Metro-Goldwyn-Mayer,Mutiny on the Bounty,True,BEST PICTURE
389,1935,1936,8,"Walt Disney, Producer",Three Orphan Kittens,True,ETC
391,1935,1936,8,"Jack Chertok, Producer",How to Sleep,True,ETC
396,1935,1936,8,Gaumont British and Skibo Productions,Wings over Mt. Everest,True,ETC
403,1935,1936,8,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Naughty Marietta,True,ETC
409,1935,1936,8,"Ben Hecht, Charles MacArthur",The Scoundrel,True,WRITING
411,1935,1936,8,Dudley Nichols,The Informer,True,WRITING
417,1936,1937,9,Paul Muni,The Story of Louis Pasteur,True,ACTOR
421,1936,1937,9,Walter Brennan,Come and Get It,True,ACTOR SUPPORTING
428,1936,1937,9,Luise Rainer,The Great Ziegfeld,True,ACTRESS
434,1936,1937,9,Gale Sondergaard,Anthony Adverse,True,ACTRESS SUPPORTING
436,1936,1937,9,Richard Day,Dodsworth,True,ETC
443,1936,1937,9,Jack Sullivan,The Charge of the Light Brigade,True,ETC
447,1936,1937,9,Gaetano Gaudio,Anthony Adverse,True,CINEMATOGRAPHY
452,1936,1937,9,Seymour Felix,The Great Ziegfeld,True,ETC
459,1936,1937,9,Frank Capra,Mr. Deeds Goes to Town,True,DIRECTING
468,1936,1937,9,"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Anthony Adverse,True,ETC
477,1936,1937,9,Music by Jerome Kern; Lyrics by Dorothy Fields,Swing Time,True,ETC
481,1936,1937,9,Metro-Goldwyn-Mayer,The Great Ziegfeld,True,BEST PICTURE
489,1936,1937,9,"Walt Disney, Producer",The Country Cousin,True,ETC
492,1936,1937,9,Warner Bros.,Give Me Liberty,True,ETC
495,1936,1937,9,"Hal Roach, Producer",Bored of Education,True,ETC
500,1936,1937,9,Metro-Goldwyn-Mayer,The Public Pays,True,ETC
506,1936,1937,9,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",San Francisco,True,ETC
513,1936,1937,9,"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,True,WRITING
519,1936,1937,9,"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,True,WRITING
526,1937,1938,10,Spencer Tracy,Captains Courageous,True,ACTOR
529,1937,1938,10,Joseph Schildkraut,The Life of Emile Zola,True,ACTOR SUPPORTING
535,1937,1938,10,Luise Rainer,The Good Earth,True,ACTRESS
537,1937,1938,10,Alice Brady,In Old Chicago,True,ACTRESS SUPPORTING
547,1937,1938,10,Stephen Goosson,Lost Horizon,True,ETC
554,1937,1938,10,Robert Webb,In Old Chicago,True,ETC
560,1937,1938,10,Karl Freund,The Good Earth,True,CINEMATOGRAPHY
567,1937,1938,10,Hermes Pan,A Damsel in Distress,True,ETC
569,1937,1938,10,Leo McCarey,The Awful Truth,True,DIRECTING
585,1937,1938,10,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",One Hundred Men and a Girl,True,ETC
594,1937,1938,10,Music and Lyrics by Harry Owens,Waikiki Wedding,True,ETC
603,1937,1938,10,Warner Bros.,The Life of Emile Zola,True,BEST PICTURE
610,1937,1938,10,"Walt Disney, Producer",The Old Mill,True,ETC
612,1937,1938,10,"Pete Smith, Producer",Penny Wisdom,True,ETC
615,1937,1938,10,Skibo Productions,The Private Life of the Gannets,True,ETC
619,1937,1938,10,Metro-Goldwyn-Mayer,Torture Money,True,ETC
622,1937,1938,10,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Hurricane,True,ETC
634,1937,1938,10,"William A. Wellman, Robert Carson",A Star Is Born,True,WRITING
637,1937,1938,10,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",The Life of Emile Zola,True,WRITING
649,1938,1939,11,Spencer Tracy,Boys Town,True,ACTOR
650,1938,1939,11,Walter Brennan,Kentucky,True,ACTOR SUPPORTING
656,1938,1939,11,Bette Davis,Jezebel,True,ACTRESS
660,1938,1939,11,Fay Bainter,Jezebel,True,ACTRESS SUPPORTING
665,1938,1939,11,Carl J. Weyl,The Adventures of Robin Hood,True,ETC
679,1938,1939,11,Joseph Ruttenberg,The Great Waltz,True,CINEMATOGRAPHY
691,1938,1939,11,Frank Capra,You Can't Take It with You,True,DIRECTING
697,1938,1939,11,Erich Wolfgang Korngold,The Adventures of Robin Hood,True,ETC
708,1938,1939,11,Alfred Newman,Alexander's Ragtime Band,True,ETC
728,1938,1939,11,Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,True,ETC
738,1938,1939,11,Columbia,You Can't Take It with You,True,BEST PICTURE
740,1938,1939,11,"Walt Disney, Producer",Ferdinand the Bull,True,ETC
745,1938,1939,11,Metro-Goldwyn-Mayer,That Mothers Might Live,True,ETC
747,1938,1939,11,Warner Bros.,Declaration of Independence,True,ETC
751,1938,1939,11,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Cowboy and the Lady,True,ETC
763,1938,1939,11,"Dore Schary, Eleanore Griffin",Boys Town,True,WRITING
769,1938,1939,11,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion,True,WRITING
784,1939,1940,12,Robert Donat,"Goodbye, Mr. Chips",True,ACTOR
792,1939,1940,12,Thomas Mitchell,Stagecoach,True,ACTOR SUPPORTING
798,1939,1940,12,Vivien Leigh,Gone with the Wind,True,ACTRESS
801,1939,1940,12,Hattie McDaniel,Gone with the Wind,True,ACTRESS SUPPORTING
807,1939,1940,12,Lyle Wheeler,Gone with the Wind,True,ETC
826,1939,1940,12,Gregg Toland,Wuthering Heights,True,CINEMATOGRAPHY
829,1939,1940,12,"Ernest Haller, Ray Rennahan",Gone with the Wind,True,CINEMATOGRAPHY
833,1939,1940,12,Victor Fleming,Gone with the Wind,True,DIRECTING
853,1939,1940,12,Herbert Stothart,The Wizard of Oz,True,ETC
864,1939,1940,12,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,True,ETC
870,1939,1940,12,Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,True,ETC
873,1939,1940,12,Selznick International Pictures,Gone with the Wind,True,BEST PICTURE
885,1939,1940,12,"Walt Disney, Producer",The Ugly Duckling,True,ETC
886,1939,1940,12,Paramount,Busy Little Bears,True,ETC
892,1939,1940,12,Warner Bros.,Sons of Liberty,True,ETC
903,1939,1940,12,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",When Tomorrow Comes,True,ETC
907,1939,1940,12,"Fred Sersen, E. H. Hansen",The Rains Came,True,ETC
913,1939,1940,12,Lewis R. Foster,Mr. Smith Goes to Washington,True,WRITING
916,1939,1940,12,Sidney Howard,Gone with the Wind,True,WRITING
931,1940,1941,13,James Stewart,The Philadelphia Story,True,ACTOR
933,1940,1941,13,Walter Brennan,The Westerner,True,ACTOR SUPPORTING
940,1940,1941,13,Ginger Rogers,Kitty Foyle,True,ACTRESS
943,1940,1941,13,Jane Darwell,The Grapes of Wrath,True,ACTRESS SUPPORTING
956,1940,1941,13,"Cedric Gibbons, Paul Groesse",Pride and Prejudice,True,ETC
963,1940,1941,13,Vincent Korda,The Thief of Bagdad,True,ETC
971,1940,1941,13,George Barnes,Rebecca,True,CINEMATOGRAPHY
979,1940,1941,13,Georges Périnal,The Thief of Bagdad,True,CINEMATOGRAPHY
980,1940,1941,13,John Ford,The Grapes of Wrath,True,DIRECTING
1003,1940,1941,13,"Leigh Harline, Paul J. Smith, Ned Washington",Pinocchio,True,ETC
1015,1940,1941,13,Alfred Newman,Tin Pan Alley,True,ETC
1023,1940,1941,13,Music by Leigh Harline; Lyrics by Ned Washington,Pinocchio,True,ETC
1034,1940,1941,13,Selznick International Pictures,Rebecca,True,BEST PICTURE
1035,1940,1941,13,Metro-Goldwyn-Mayer,The Milky Way,True,ETC
1040,1940,1941,13,"Pete Smith, Producer",Quicker 'N a Wink,True,ETC
1044,1940,1941,13,Warner Bros.,"Teddy, the Rough Rider",True,ETC
1054,1940,1941,13,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Strike Up the Band,True,ETC
1067,1940,1941,13,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,The Thief of Bagdad,True,ETC
1074,1940,1941,13,Preston Sturges,The Great McGinty,True,WRITING
1075,1940,1941,13,"Benjamin Glazer, John S. Toldy","Arise, My Love",True,WRITING
1083,1940,1941,13,Donald Ogden Stewart,The Philadelphia Story,True,WRITING
1087,1941,1942,14,Gary Cooper,Sergeant York,True,ACTOR
1094,1941,1942,14,Donald Crisp,How Green Was My Valley,True,ACTOR SUPPORTING
1099,1941,1942,14,Joan Fontaine,Suspicion,True,ACTRESS
1103,1941,1942,14,Mary Astor,The Great Lie,True,ACTRESS SUPPORTING
1110,1941,1942,14,"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",How Green Was My Valley,True,ETC
1120,1941,1942,14,"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",Blossoms in the Dust,True,ETC
1127,1941,1942,14,Arthur Miller,How Green Was My Valley,True,CINEMATOGRAPHY
1134,1941,1942,14,"Ernest Palmer, Ray Rennahan",Blood and Sand,True,CINEMATOGRAPHY
1140,1941,1942,14,John Ford,How Green Was My Valley,True,DIRECTING
1146,1941,1942,14,National Film Board of Canada,Churchill's Island,True,ETC
1159,1941,1942,14,Bernard Herrmann,All That Money Can Buy,True,ETC
1183,1941,1942,14,"Frank Churchill, Oliver Wallace",Dumbo,True,ETC
1195,1941,1942,14,Music by Jerome Kern; Lyrics by Oscar Hammerstein II,Lady Be Good,True,ETC
1202,1941,1942,14,20th Century-Fox,How Green Was My Valley,True,BEST PICTURE
1211,1941,1942,14,"Walt Disney, Producer",Lend a Paw,True,ETC
1223,1941,1942,14,Metro-Goldwyn-Mayer,Of Pups and Puzzles,True,ETC
1228,1941,1942,14,Metro-Goldwyn-Mayer,Main Street on the March!,True,ETC
1239,1941,1942,14,"General Service Sound Department, Jack Whitney, Sound Director",That Hamilton Woman,True,ETC
1244,1941,1942,14,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",I Wanted Wings,True,ETC
1250,1941,1942,14,"Herman J. Mankiewicz, Orson Welles",Citizen Kane,True,WRITING
1256,1941,1942,14,Harry Segall,Here Comes Mr. Jordan,True,WRITING
1260,1941,1942,14,"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan,True,WRITING
1270,1942,1943,15,James Cagney,Yankee Doodle Dandy,True,ACTOR
1276,1942,1943,15,Van Heflin,Johnny Eager,True,ACTOR SUPPORTING
1281,1942,1943,15,Greer Garson,Mrs. Miniver,True,ACTRESS
1289,1942,1943,15,Teresa Wright,Mrs. Miniver,True,ACTRESS SUPPORTING
1299,1942,1943,15,"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",This above All,True,ETC
1303,1942,1943,15,"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",My Gal Sal,True,ETC
1307,1942,1943,15,Joseph Ruttenberg,Mrs. Miniver,True,CINEMATOGRAPHY
1316,1942,1943,15,Leon Shamroy,The Black Swan,True,CINEMATOGRAPHY
1322,1942,1943,15,William Wyler,Mrs. Miniver,True,DIRECTING
1327,1942,1943,15,United States Navy,The Battle of Midway,True,ETC
1336,1942,1943,15,Australian News & Information Bureau,Kokoda Front Line!,True,ETC
1342,1942,1943,15,Artkino,Moscow Strikes Back,True,ETC
1344,1942,1943,15,United States Army Special Services,Prelude to War,True,ETC
1366,1942,1943,15,Max Steiner,"Now, Voyager",True,ETC
1380,1942,1943,15,"Ray Heindorf, Heinz Roemheld",Yankee Doodle Dandy,True,ETC
1391,1942,1943,15,Music and Lyrics by Irving Berlin,Holiday Inn,True,ETC
1395,1942,1943,15,Metro-Goldwyn-Mayer,Mrs. Miniver,True,BEST PICTURE
1404,1942,1943,15,"Walt Disney, Producer",Der Fuehrer's Face,True,ETC
1410,1942,1943,15,Paramount,Speaking of Animals and Their Families,True,ETC
1412,1942,1943,15,Warner Bros.,Beyond the Line of Duty,True,ETC
1425,1942,1943,15,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Yankee Doodle Dandy,True,ETC
1436,1942,1943,15,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",Reap the Wild Wind,True,ETC
1438,1942,1943,15,Emeric Pressburger,The Invaders,True,WRITING
1446,1942,1943,15,"Ring Lardner, Jr., Michael Kanin",Woman of the Year,True,WRITING
1448,1942,1943,15,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver,True,WRITING
1458,1943,1944,16,Paul Lukas,Watch on the Rhine,True,ACTOR
1462,1943,1944,16,Charles Coburn,The More the Merrier,True,ACTOR SUPPORTING
1470,1943,1944,16,Jennifer Jones,The Song of Bernadette,True,ACTRESS
1473,1943,1944,16,Katina Paxinou,For Whom the Bell Tolls,True,ACTRESS SUPPORTING
1481,1943,1944,16,"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",The Song of Bernadette,True,ETC
1484,1943,1944,16,"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Phantom of the Opera,True,ETC
1496,1943,1944,16,Arthur Miller,The Song of Bernadette,True,CINEMATOGRAPHY
1501,1943,1944,16,"Hal Mohr, W. Howard Greene",Phantom of the Opera,True,CINEMATOGRAPHY
1503,1943,1944,16,Michael Curtiz,Casablanca,True,DIRECTING
1510,1943,1944,16,British Ministry of Information,Desert Victory,True,ETC
1519,1943,1944,16,United States Navy,December 7th,True,ETC
1556,1943,1944,16,Alfred Newman,The Song of Bernadette,True,ETC
1566,1943,1944,16,Ray Heindorf,This Is the Army,True,ETC
1577,1943,1944,16,Music by Harry Warren; Lyrics by Mack Gordon,"Hello, Frisco, Hello",True,ETC
1578,1943,1944,16,Warner Bros.,Casablanca,True,BEST PICTURE
1593,1943,1944,16,"Frederick Quimby, Producer",Yankee Doodle Mouse,True,ETC
1594,1943,1944,16,"Grantland Rice, Producer",Amphibious Fighters,True,ETC
1599,1943,1944,16,"Jerry Bresler and Sam Coslow, Producers",Heavenly Music,True,ETC
1614,1943,1944,16,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine,True,ETC
1617,1943,1944,16,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Crash Dive,True,ETC
1623,1943,1944,16,William Saroyan,The Human Comedy,True,WRITING
1629,1943,1944,16,Norman Krasna,Princess O'Rourke,True,WRITING
1631,1943,1944,16,"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca,True,WRITING
1639,1944,1945,17,Bing Crosby,Going My Way,True,ACTOR
1644,1944,1945,17,Barry Fitzgerald,Going My Way,True,ACTOR SUPPORTING
1648,1944,1945,17,Ingrid Bergman,Gaslight,True,ACTRESS
1653,1944,1945,17,Ethel Barrymore,None but the Lonely Heart,True,ACTRESS SUPPORTING
1661,1944,1945,17,"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Gaslight,True,ETC
1673,1944,1945,17,Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little,Wilson,True,ETC
1678,1944,1945,17,Joseph LaShelle,Laura,True,CINEMATOGRAPHY
1689,1944,1945,17,Leon Shamroy,Wilson,True,CINEMATOGRAPHY
1691,1944,1945,17,Leo McCarey,Going My Way,True,DIRECTING
1695,1944,1945,17,United States Navy,The Fighting Lady,True,ETC
1699,1944,1945,17,United States Marine Corps,With the Marines at Tarawa,True,ETC
1718,1944,1945,17,Max Steiner,Since You Went Away,True,ETC
1726,1944,1945,17,"Morris Stoloff, Carmen Dragon",Cover Girl,True,ETC
1748,1944,1945,17,Music by James Van Heusen; Lyrics by Johnny Burke,Going My Way,True,ETC
1753,1944,1945,17,Paramount,Going My Way,True,BEST PICTURE
1760,1944,1945,17,"Frederick C. Quimby, Producer",Mouse Trouble,True,ETC
1767,1944,1945,17,"Jerry Fairbanks, Producer",Who's Who in Animal Land,True,ETC
1769,1944,1945,17,"Gordon Hollingshead, Producer",I Won't Play,True,ETC
1781,1944,1945,17,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",Wilson,True,ETC
1787,1944,1945,17,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",Thirty Seconds over Tokyo,True,ETC
1789,1944,1945,17,Leo McCarey,Going My Way,True,WRITING
1797,1944,1945,17,Lamar Trotti,Wilson,True,WRITING
1801,1944,1945,17,"Frank Butler, Frank Cavett",Going My Way,True,WRITING
1809,1945,1946,18,Ray Milland,The Lost Weekend,True,ACTOR
1814,1945,1946,18,James Dunn,A Tree Grows in Brooklyn,True,ACTOR SUPPORTING
1818,1945,1946,18,Joan Crawford,Mildred Pierce,True,ACTRESS
1826,1945,1946,18,Anne Revere,National Velvet,True,ACTRESS SUPPORTING
1827,1945,1946,18,Art Direction:  Wiard Ihnen;  Interior Decoration:  A. Roland Fields,Blood on the Sun,True,ETC
1832,1945,1946,18,"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Sam Comer",Frenchman's Creek,True,ETC
1840,1945,1946,18,Harry Stradling,The Picture of Dorian Gray,True,CINEMATOGRAPHY
1843,1945,1946,18,Leon Shamroy,Leave Her to Heaven,True,CINEMATOGRAPHY
1848,1945,1946,18,Billy Wilder,The Lost Weekend,True,DIRECTING
1853,1945,1946,18,The Governments of Great Britain and the United States of America,The True Glory,True,ETC
1854,1945,1946,18,"Gordon Hollingshead, Producer",Hitler Lives?,True,ETC
1879,1945,1946,18,Miklos Rozsa,Spellbound,True,ETC
1883,1945,1946,18,Georgie Stoll,Anchors Aweigh,True,ETC
1902,1945,1946,18,Music by Richard Rodgers; Lyrics by Oscar Hammerstein II,State Fair,True,ETC
1911,1945,1946,18,Paramount,The Lost Weekend,True,BEST PICTURE
1919,1945,1946,18,"Frederick Quimby, Producer",Quiet Please!,True,ETC
1923,1945,1946,18,"Herbert Moulton, Producer;  Jerry Bresler, Executive Producer",Stairway to Light,True,ETC
1930,1945,1946,18,"Gordon Hollingshead, Producer",Star in the Night,True,ETC
1931,1945,1946,18,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",The Bells of St. Mary's,True,ETC
1947,1945,1946,18,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,Wonder Man,True,ETC
1949,1945,1946,18,Charles G. Booth,The House on 92nd Street,True,WRITING
1954,1945,1946,18,Richard Schweizer,Marie-Louise,True,WRITING
1959,1945,1946,18,"Charles Brackett, Billy Wilder",The Lost Weekend,True,WRITING
1967,1946,1947,19,Fredric March,The Best Years of Our Lives,True,ACTOR
1975,1946,1947,19,Harold Russell,The Best Years of Our Lives,True,ACTOR SUPPORTING
1977,1946,1947,19,Olivia de Havilland,To Each His Own,True,ACTRESS
1983,1946,1947,19,Anne Baxter,The Razor's Edge,True,ACTRESS SUPPORTING
1987,1946,1947,19,"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",Anna and the King of Siam,True,ETC
1992,1946,1947,19,"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis",The Yearling,True,ETC
1993,1946,1947,19,Arthur Miller,Anna and the King of Siam,True,CINEMATOGRAPHY
1996,1946,1947,19,"Charles Rosher, Leonard Smith, Arthur Arling",The Yearling,True,CINEMATOGRAPHY
1997,1946,1947,19,William Wyler,The Best Years of Our Lives,True,DIRECTING
2005,1946,1947,19,United States Department of War,Seeds of Destiny,True,ETC
2013,1946,1947,19,Hugo Friedhofer,The Best Years of Our Lives,True,ETC
2020,1946,1947,19,Morris Stoloff,The Jolson Story,True,ETC
2025,1946,1947,19,Music by Harry Warren; Lyrics by Johnny Mercer,The Harvey Girls,True,ETC
2027,1946,1947,19,Samuel Goldwyn Productions,The Best Years of Our Lives,True,BEST PICTURE
2032,1946,1947,19,"Frederick Quimby, Producer",The Cat Concerto,True,ETC
2038,1946,1947,19,"Gordon Hollingshead, Producer",Facing Your Danger,True,ETC
2042,1946,1947,19,"Gordon Hollingshead, Producer",A Boy and His Dog,True,ETC
2048,1946,1947,19,"Columbia Studio Sound Department, John Livadary, Sound Director",The Jolson Story,True,ETC
2049,1946,1947,19,Special Visual Effects by Thomas Howard,Blithe Spirit,True,ETC
2055,1946,1947,19,Clemence Dane,Vacation from Marriage,True,WRITING
2060,1946,1947,19,"Muriel Box, Sydney Box",The Seventh Veil,True,WRITING
2062,1946,1947,19,Robert E. Sherwood,The Best Years of Our Lives,True,WRITING
2071,1947,1948,20,Ronald Colman,A Double Life,True,ACTOR
2078,1947,1948,20,Edmund Gwenn,Miracle on 34th Street,True,ACTOR SUPPORTING
2085,1947,1948,20,Loretta Young,The Farmer's Daughter,True,ACTRESS
2088,1947,1948,20,Celeste Holm,Gentleman's Agreement,True,ACTRESS SUPPORTING
2092,1947,1948,20,Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Great Expectations,True,ETC
2093,1947,1948,20,Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,Black Narcissus,True,ETC
